drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
5-azacytidine,-0.3191838,-1.6781493,-0.24499044,0.8106447,-0.35726884,0.0062978873,0.72182226,0.22200546,-0.3152289,-1.2719424,-0.39808998,0.56304055,0.40642148,0.5106694,-0.8881302,-0.7861444,0.15890914,0.09325591,0.9060711,-1.5176591,0.43753037,-0.7957434,-0.72016424,-0.96044135,-0.038787466,0.0014515169,-1.8873278,-1.488836,0.39028752,0.21710229,1.1096239,0.36455765
5-Fluorouracil,-0.31356618,-1.7883958,-0.2499673,0.82159895,-0.30384812,-0.014319916,0.86398673,0.24137852,-0.23975007,-1.4288815,-0.2909156,0.64655244,0.4074552,0.40088212,-0.8210508,-0.8046814,0.16650945,0.14599153,0.9229698,-1.4480135,0.4700015,-0.9895807,-0.59055823,-1.0195289,-0.025652826,-0.15625495,-1.8287572,-1.535325,0.3587885,0.32642546,1.1509056,0.4018861
A-1155463,-0.32429153,-1.6614031,-0.23467433,0.7589136,-0.34974906,0.0069617806,0.69190985,0.24795136,-0.31461534,-1.3086504,-0.35858208,0.55818844,0.39298415,0.4643068,-0.89263654,-0.8243288,0.16966593,0.08202307,0.8842157,-1.487117,0.4048525,-0.79331857,-0.6848279,-0.9434506,-0.038236212,-0.040892694,-1.8645977,-1.503725,0.37256926,0.23417473,1.1111275,0.42557096
A-1210477,-0.32012442,-1.569588,-0.21363139,0.73162055,-0.3656086,0.030321421,0.6163589,0.2320309,-0.35733277,-1.1932563,-0.41789156,0.52974486,0.37676275,0.52642035,-0.9239246,-0.8190806,0.15781282,0.047103625,0.8456636,-1.5034704,0.39274478,-0.6576155,-0.7399558,-0.8987198,-0.048221875,0.052807968,-1.8753397,-1.4477837,0.4005818,0.19202484,1.0551512,0.3929104
A-196,-0.34646013,-1.7157325,-0.22046809,0.7799489,-0.37316418,0.013079911,0.745862,0.24149905,-0.32005674,-1.3447427,-0.38120237,0.62455744,0.39940736,0.49546957,-0.9140474,-0.86794186,0.19114973,0.07712513,0.89443034,-1.5237527,0.44081172,-0.8211851,-0.69607216,-0.9735901,-0.06183885,-0.04940066,-1.9173893,-1.5380263,0.36893895,0.28423765,1.1387084,0.40683857
A-366,-0.33462143,-1.4425454,-0.22100289,0.7024457,-0.40028635,0.022272373,0.51824695,0.20360045,-0.3734839,-1.0654795,-0.47773743,0.46987486,0.37703395,0.5659705,-0.9323569,-0.77439284,0.16878575,0.0134806,0.80918866,-1.4899111,0.36006126,-0.5310899,-0.7958837,-0.8409881,-0.05776751,0.13676001,-1.8519186,-1.3830571,0.39918888,0.13809922,1.012927,0.36791238
A-443654,-0.28971195,-1.5849718,-0.20437492,0.68841404,-0.30156535,0.04532335,0.6427605,0.23703694,-0.35458663,-1.1883231,-0.41517955,0.6023203,0.34370437,0.5006663,-0.87464315,-0.83812505,0.12286195,0.030732045,0.8287869,-1.4225957,0.42023247,-0.6629418,-0.6532564,-0.91047436,-0.050402798,0.019212978,-1.8138195,-1.4138147,0.39250773,0.24660794,1.0325298,0.36908287
A-770041,-0.32689703,-1.5461832,-0.21306159,0.70702296,-0.34948912,0.031001732,0.60447323,0.23565346,-0.35624918,-1.1594865,-0.41764602,0.5527216,0.35924968,0.5319048,-0.91042525,-0.8150998,0.16589616,0.024510888,0.8315292,-1.4477378,0.40349331,-0.6304337,-0.70671046,-0.87874687,-0.0590171,0.04590359,-1.8270864,-1.4142771,0.3752431,0.21128121,1.0261707,0.38306037
A-83-01,-0.30177265,-1.6482627,-0.19548303,0.7042801,-0.31159797,0.044663653,0.69909537,0.25028226,-0.3428994,-1.2700052,-0.37224576,0.6357051,0.34760073,0.47856858,-0.87331575,-0.8677998,0.14659545,0.046994224,0.8475995,-1.429146,0.4362448,-0.7430013,-0.62891155,-0.9304136,-0.05921124,-0.043301813,-1.8223872,-1.4588662,0.3626194,0.2805771,1.0648475,0.3872156
Abemaciclib,-0.3121291,-1.5314469,-0.21193856,0.71637434,-0.3570609,0.032713495,0.5985926,0.21668978,-0.34419054,-1.1659013,-0.43406692,0.54151785,0.37024158,0.51263905,-0.8924887,-0.81284666,0.15427987,0.037095122,0.8405634,-1.4597828,0.39647955,-0.6478328,-0.7155439,-0.89528346,-0.049377922,0.058331262,-1.8371844,-1.4178332,0.3806409,0.20668703,1.0480647,0.38373944
ABT737,-0.32594305,-1.6481942,-0.22486159,0.7633408,-0.3665659,0.009894714,0.6887279,0.23953652,-0.32597607,-1.2915323,-0.37957883,0.54617566,0.39998642,0.48311362,-0.90978914,-0.82725,0.1615154,0.084701225,0.8724535,-1.5271791,0.39644644,-0.76551044,-0.72277963,-0.9409041,-0.038046964,-0.009114756,-1.9023453,-1.504984,0.39982098,0.22270678,1.1093901,0.41260052
AC220,-0.32614273,-1.6087778,-0.22162168,0.73793876,-0.3536518,0.01921064,0.6435782,0.23955181,-0.3379029,-1.2372797,-0.40295845,0.5566738,0.38153568,0.50297296,-0.9097177,-0.82961416,0.16742852,0.05158773,0.8647953,-1.4858773,0.40231174,-0.71083343,-0.7076429,-0.92109597,-0.04827281,0.013665686,-1.8654585,-1.4656436,0.38022694,0.22342804,1.0825139,0.4078424
