drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
5-azacytidine,16.48213,-16.710217,-11.655921,-0.59363407,-1.5757108,-10.951558,-21.748232,4.7601056,-23.126413,19.209234,21.706583,-5.589745,1.5798082,1.7393959,-0.06778015,11.400916,6.797611,-18.115295,10.062194,4.924991,-15.838165,0.12169449,9.443025,6.6336055,-26.847828,-2.6032891,4.9226723,-15.601023,15.746538,12.138175,2.682284,-25.226246
5-Fluorouracil,8.005281,-7.7437124,-6.185669,-0.61324155,-0.70945066,-5.578774,-11.626664,2.795589,-11.979173,10.626522,11.378731,-3.7580664,0.5695046,0.7800423,0.15300456,5.9533477,4.603241,-10.087467,5.8974676,2.3677459,-8.237114,0.041260142,3.9532318,2.4416907,-13.958963,-1.380003,3.079324,-7.4174194,8.26457,7.0186987,0.7521926,-13.702353
A-1155463,41.781116,-45.83828,-34.01841,-2.4753082,-3.7571125,-30.429176,-61.350323,13.239049,-63.84684,56.461758,57.42623,-17.302513,5.7854095,3.0366945,1.6056486,29.375408,19.640131,-47.489693,26.765045,12.796079,-41.210903,1.0148789,25.437965,18.701145,-71.97419,-8.4108305,14.12199,-43.716755,43.71091,34.847824,5.497312,-69.708565
A-1210477,55.95435,-63.10855,-44.521286,-0.8937998,-4.878368,-39.674915,-79.08937,17.172543,-82.19484,71.5279,73.783455,-18.818857,7.960399,4.388113,-0.24515378,38.722973,22.56659,-58.49244,32.224705,17.702097,-52.329964,2.1991518,37.89519,27.615255,-93.74153,-11.593317,15.8532915,-59.10508,54.913475,43.15521,9.274187,-88.05972
A-196,22.252878,-23.92291,-18.005333,-0.67020726,-1.9055579,-16.005074,-32.77183,7.2243285,-32.995697,29.748955,30.587645,-8.9362,3.1369338,1.5509542,0.03719398,15.94452,10.886504,-25.100899,14.867301,7.384063,-21.527126,0.47519788,13.607565,8.780871,-38.51569,-4.6881,7.4092216,-22.584248,23.308983,17.670536,2.6801157,-36.734474
A-366,22.557371,-26.002317,-16.865694,0.65396684,-1.7308153,-15.75091,-31.121166,5.638143,-31.399849,26.849625,28.06027,-5.0690727,3.9575238,2.1772907,-0.7063469,14.586109,7.1595855,-20.973366,11.1862545,7.4238253,-19.958826,1.2109115,16.154774,11.822548,-36.08505,-4.79076,5.1336637,-23.432833,22.24071,15.148047,3.775343,-33.35729
A-443654,25.96368,-28.433645,-21.159504,0.094262145,-3.1045797,-18.03972,-37.616035,9.722311,-38.379272,32.580032,35.267513,-8.705206,3.3532248,1.6153344,-2.053718,19.373587,12.219939,-28.010302,16.817482,9.715155,-24.0979,0.5781469,19.234968,12.742433,-45.176617,-5.5009937,7.393801,-26.72008,23.896786,20.677399,4.655345,-40.82286
A-770041,41.15213,-45.907627,-32.246223,-0.17920099,-4.4072247,-28.474485,-59.02887,12.6784115,-59.546234,50.573185,54.550224,-12.642439,6.6914883,3.1635432,-1.4603417,28.850607,17.013315,-42.36186,24.32192,14.872882,-37.37287,1.2536327,28.802212,20.12553,-68.905914,-8.90431,11.418934,-42.426315,39.87191,30.695318,6.574568,-63.823036
A-83-01,26.477674,-28.996578,-22.445538,-0.8944156,-3.1377406,-18.577621,-39.483566,10.028105,-40.36021,35.10461,37.25318,-10.998904,3.8793674,1.2622535,-0.7348242,20.070879,13.706061,-30.23464,18.446934,10.016909,-25.208096,0.42750558,18.322395,11.853567,-47.178936,-6.137536,8.697025,-27.666391,25.77584,22.236633,4.0058994,-43.73222
Abemaciclib,33.156834,-37.569305,-25.927916,0.22549035,-3.0766156,-23.419601,-47.869137,10.386589,-47.889324,41.59149,43.275032,-9.75453,4.3426995,2.5705645,-1.8521972,22.75026,13.7134905,-33.7542,19.596628,11.107422,-30.817123,1.4445958,24.084095,16.423605,-55.765415,-6.9083853,8.380116,-34.40625,32.407814,24.716852,5.024761,-52.05937
ABT737,51.464417,-56.90611,-41.98881,-2.2187784,-3.5637615,-37.829075,-73.542656,16.216396,-77.66774,69.90579,69.28456,-20.766096,6.630163,3.9323359,1.9520742,36.0461,22.789236,-57.353832,31.354136,14.609481,-50.524143,1.5700808,31.517456,23.252607,-87.98,-10.265907,16.774897,-54.308735,53.096447,42.36309,7.505242,-84.28719
AC220,36.012993,-40.017273,-28.894295,-0.87113464,-3.3964016,-25.630978,-52.49287,11.438555,-53.581142,46.637524,48.354115,-12.731601,5.1425295,2.7159193,-0.333057,25.202839,15.988627,-38.742725,22.125313,11.949137,-34.056118,1.300318,24.12022,17.03226,-61.20956,-7.479386,10.700945,-37.40617,36.32316,28.347004,5.182421,-58.08481
ACY-1215,27.808006,-32.005135,-22.81987,-0.541441,-1.8079535,-20.321018,-39.778515,8.937265,-41.882,37.394314,36.409977,-9.798886,3.3043883,2.251584,0.098258235,18.86668,11.442696,-29.389143,16.002676,7.89239,-26.870031,1.5841746,19.570774,14.243074,-47.36965,-5.7871513,7.659536,-30.030853,27.843117,22.58537,4.454214,-45.039387
ACY-738,17.550795,-19.280653,-14.080191,-0.54800487,-1.9485304,-12.343002,-25.310282,5.7774262,-26.004185,22.278387,23.832865,-6.3738585,2.5771794,1.2176145,-0.27150276,12.615674,7.875182,-18.999245,11.059332,6.1595135,-16.489727,0.39982602,11.723656,8.271849,-29.92712,-3.6693988,5.370596,-18.205618,17.022776,13.9239235,2.6931221,-27.95949
Afatinib,30.892548,-33.744392,-24.246655,-1.2645662,-2.6025488,-22.088354,-44.062313,9.635858,-45.931065,40.27487,41.48883,-11.690412,3.6682084,2.517308,0.30303377,21.315283,13.592946,-34.04689,19.061796,8.962555,-29.999641,0.85593,19.348038,14.130643,-52.239388,-5.6807017,9.588754,-31.995476,31.451796,24.500841,4.538829,-50.126934
Afuresertib,25.248753,-27.025213,-20.913378,-1.9606328,-1.5343475,-19.219267,-37.03054,8.365133,-39.076954,36.438545,35.31184,-12.278115,2.527232,1.7649213,1.7471459,17.909346,12.772856,-30.50227,17.067072,6.2121696,-26.325066,0.41785073,13.4147005,9.710769,-44.36411,-4.5990596,9.557765,-26.546501,27.439365,22.15366,2.917747,-43.757442
AGI-5198,30.139198,-34.46757,-24.227394,0.1584351,-2.7170844,-21.786446,-42.960526,9.222447,-44.071747,38.472813,39.278545,-9.091053,4.5477877,2.2877214,-0.8029654,20.738743,11.706671,-30.452044,17.254065,9.95134,-28.07725,1.4869978,21.506433,15.357559,-50.613518,-6.4694347,7.994682,-32.090527,29.448923,22.967953,4.9124575,-47.02783
AGI-6780,29.60906,-31.579256,-24.084106,-2.6027174,-2.6234121,-22.061815,-43.397205,9.368851,-45.57633,41.2351,41.54877,-13.844555,3.459479,2.1494153,1.9623384,20.897192,14.589462,-35.237034,20.020576,8.081711,-30.34033,0.16953011,15.886182,11.827931,-51.33364,-5.3623176,11.172459,-30.93399,31.764147,25.388758,3.5287113,-50.74045
AICA Ribonucleotide,21.833967,-22.250832,-16.08639,-1.9625826,-1.6671869,-15.757112,-29.297703,5.9728866,-32.165165,28.270359,29.470846,-9.436344,1.8968235,2.16528,1.849223,14.754741,9.274902,-25.496643,13.674652,4.92411,-22.556429,-0.15977257,10.412156,8.340887,-36.04218,-3.0038807,7.9001675,-21.70802,22.727089,17.464228,3.1608813,-35.510986
AICA_Ribonucleotide,21.833965,-22.25083,-16.086391,-1.9625826,-1.667187,-15.757112,-29.297703,5.972886,-32.165165,28.270359,29.470846,-9.436344,1.8968238,2.16528,1.8492231,14.75474,9.274903,-25.496645,13.674652,4.9241095,-22.556429,-0.1597725,10.412154,8.340887,-36.04218,-3.0038807,7.900167,-21.708017,22.727089,17.464228,3.160881,-35.510986
