drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
5-azacytidine,-2.631351,4.919751,2.7679975,-2.504674,-1.5842755,-11.704843,3.7138698,7.9876223,-3.6218255,-2.7511053,5.256316,-5.8874216,9.403158,13.031197,5.3822455,2.8264933,0.42575827,12.209684,1.9478575,6.017653,0.43807033,10.704162,17.077381,7.652662,-9.029636,-5.9848933,-4.608343,-0.60902715,-3.7150574,5.511199,4.9288597,3.6207223
5-Fluorouracil,-1.6379337,2.8399181,1.0831735,-0.72061205,-1.3705121,-6.7006025,0.75555855,4.9853315,-1.7816143,-1.5610298,3.7745304,-2.2354367,4.5246887,6.636483,2.68784,2.3882408,-0.08966303,7.230253,1.7046123,2.8695745,-0.073189184,5.402138,8.457694,4.1226525,-4.3840466,-3.7228098,-3.3196123,-0.21427983,-2.147697,3.7832673,2.0942729,2.5720599
A-1155463,-8.974822,15.183861,7.680628,-4.0504446,-5.77506,-35.19729,5.729049,23.504614,-9.496552,-8.381338,17.575264,-14.050184,25.590292,35.22133,14.821496,8.663712,1.2527615,36.262936,5.26986,15.781905,-0.9415925,28.23627,45.659386,20.948792,-24.123545,-17.520733,-13.755323,0.060777344,-11.405293,16.626242,12.80035,12.661717
A-1210477,-10.823841,18.09026,10.651099,-7.252999,-5.1826105,-45.1507,10.282937,27.304947,-13.228592,-10.660692,19.531366,-21.61915,32.935436,44.90034,19.088942,7.29514,3.4934957,44.03928,4.077076,21.094694,-0.8710248,36.228546,60.610847,26.24735,-32.198875,-21.14361,-13.830733,-0.106610924,-13.659457,18.042513,18.03587,13.689981
A-196,-4.204085,7.5925865,3.8494825,-2.1638272,-2.7509267,-19.407328,2.8376462,11.838565,-5.034829,-4.175135,9.328878,-8.037763,12.478943,18.15433,7.447698,4.3006134,0.9873009,19.006266,2.7658947,8.432037,-0.5379026,14.585383,24.022036,11.071937,-13.16973,-9.205431,-6.87086,-0.06469178,-6.0990043,8.884698,6.5733685,6.1680117
A-366,-3.136462,6.237548,4.5692973,-3.6993246,-1.2401793,-16.916494,5.361506,8.743508,-5.1746154,-3.5354295,6.155546,-10.072976,12.950195,17.472012,7.4822917,0.979898,1.7809609,15.613617,0.24272406,8.411376,0.15863928,14.330766,23.736317,9.882744,-13.494778,-7.105328,-3.8780048,-0.1484257,-5.258786,5.8459177,7.458925,4.190047
A-443654,-5.4504833,7.9996266,4.1056333,-3.2044582,-2.2761927,-23.273338,3.603079,14.098935,-6.8910875,-5.8436723,10.827347,-9.678829,14.05289,20.65413,7.539565,5.9671116,1.566756,21.97352,3.6729686,10.291204,-1.3518142,16.838766,28.733973,11.682216,-13.287351,-11.021442,-6.0478086,-0.6285212,-5.942539,9.07759,7.8292336,6.7409563
A-770041,-7.6776648,12.828907,7.434604,-5.5553966,-3.2594855,-34.191887,7.1686897,20.021486,-10.088301,-7.5656123,14.844305,-16.479439,23.346724,32.52292,12.99766,6.4318876,2.801992,32.37494,3.7667027,15.886785,-0.46629363,26.748148,44.693844,19.033043,-22.64615,-15.287178,-9.39398,-0.6046425,-9.622517,13.172352,12.657097,9.635843
A-83-01,-6.26811,9.172637,4.2650003,-2.4573965,-3.0473127,-24.887571,2.5239987,15.692462,-6.8651857,-6.0574713,12.356794,-9.155292,14.651812,21.486786,7.996615,6.9741807,1.6158905,23.939512,4.4179645,10.617345,-1.5263718,17.398418,29.731363,12.856469,-13.811223,-11.917356,-7.678207,-0.31804022,-6.622592,10.542288,7.696626,7.840468
Abemaciclib,-6.026658,10.082666,5.983923,-4.9562507,-2.569421,-27.390507,5.7422996,15.991858,-8.342088,-6.3521733,11.85194,-13.021962,18.948223,26.371588,10.962776,4.684565,1.877818,26.024017,3.2666526,12.433609,-0.6382338,21.56932,36.09176,15.064747,-18.581377,-12.452883,-7.3982024,-0.7366588,-7.8650966,11.049086,10.465675,7.8917475
