drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
5-azacytidine,0.76692134,-0.13833944,-0.7480378,-0.8129498,-0.09797218,0.46491295,-0.35194534,2.5749269,-0.07004452,1.3487455,-0.12610653,-0.372908,-1.2535101,0.63558555,0.15751964,1.1931027,0.82697666,2.151976,1.0331829,0.05939185,-0.29611114,-0.649146,-0.28472593,0.8875108,-0.5022667,0.76102847,0.35027733,0.39931923,-0.43048093,0.78353435,-0.08872062,0.056351054
5-Fluorouracil,0.709479,-0.13495404,-0.77080005,-0.8363245,-0.10819386,0.38837463,-0.37759915,2.6387506,-0.14923747,1.2500113,-0.12302789,-0.38645697,-1.3231798,0.51854205,0.12891705,1.2139015,0.79089254,1.8375933,1.0424389,0.050553072,-0.36249197,-0.6950027,-0.48516113,0.90781474,-0.7710284,0.6106317,0.36788478,0.40297368,-0.4442641,0.68384725,-0.124447435,0.056037445
A-1155463,0.9593357,-0.10855581,-0.71076214,-0.83813345,-0.08026049,0.40843686,-0.36760035,2.796648,-0.03675825,1.5834342,-0.1038118,-0.31141636,-1.2187054,0.660252,0.19664784,1.275675,0.8034481,2.2735133,1.0926591,0.06366268,-0.2799008,-0.61182266,-0.20256752,1.0267001,-0.34780875,0.9057749,0.41020373,0.43268335,-0.43534616,0.7535321,-0.08000286,0.079130605
A-1210477,0.97244734,-0.15727948,-0.70975,-0.83119875,-0.07850987,0.5430007,-0.37367058,3.4388206,-0.037233867,1.780168,-0.11113392,-0.343749,-1.2224889,0.7042489,0.26629826,1.516608,0.9577242,2.5168097,1.3895929,0.07374688,-0.28147614,-0.5823239,-0.30845183,1.0841138,-0.47386995,0.9566433,0.37628433,0.5239945,-0.4577915,0.8075742,-0.097564384,0.050096624
A-196,0.8821746,-0.118862234,-0.8028023,-0.86199653,-0.0966603,0.46179655,-0.33015263,3.290809,-0.0473511,1.5948267,-0.12619106,-0.42841354,-1.3944823,0.63461053,0.20895474,1.4931769,0.89723575,2.1076033,1.3286855,0.03673514,-0.40094447,-0.73197055,-0.26219288,1.1436508,-0.51915884,0.9084218,0.4289556,0.5365744,-0.47471604,0.81212515,-0.11344716,0.08312998
A-366,0.9185804,-0.17004329,-0.73033756,-0.8448414,-0.09150861,0.33014143,-0.37679633,2.3309307,-0.016409947,1.4934169,-0.1692377,-0.40505394,-1.210651,0.67016906,0.15327486,1.2070266,0.7595714,2.2282617,0.9063977,-0.02591799,-0.2925744,-0.6469986,-0.27290618,0.91542417,-0.47183326,0.96698344,0.30741677,0.3314644,-0.49162978,0.84928334,-0.17922698,0.06518798
A-443654,0.8483684,-0.15075307,-0.7390349,-0.83556837,-0.10644373,0.2950133,-0.40082648,2.2967377,-0.07810236,1.4094354,-0.19184403,-0.4020738,-1.2409362,0.62538856,0.10738552,1.0912583,0.6829488,2.1525407,0.863875,-0.051287062,-0.28332633,-0.5930878,-0.2602631,0.8651276,-0.3809062,0.8296206,0.31736344,0.30792356,-0.48700017,0.7287634,-0.25116947,0.05288007
A-770041,0.8861471,-0.14882018,-0.7140084,-0.8156939,-0.075482465,0.34615496,-0.31990677,2.4046998,-0.018472308,1.4308444,-0.10342281,-0.31243306,-1.2237093,0.6589381,0.19095762,1.1520189,0.7528864,2.183622,0.92031574,0.058793556,-0.26753393,-0.5786923,-0.31316093,0.86600065,-0.47072524,0.95877475,0.32947576,0.34949255,-0.43588474,0.84029055,-0.081005,0.03272638
A-83-01,0.87094766,-0.10003565,-0.7486228,-0.86749256,-0.06365885,0.4229376,-0.34678826,2.9837985,-0.0823873,1.4057161,-0.08411517,-0.3829193,-1.2804008,0.57304764,0.2701481,1.2833529,0.80681175,1.9017359,1.1961545,0.049016315,-0.3274629,-0.5976866,-0.31312963,1.0096017,-0.5314613,0.8275884,0.39755076,0.46037927,-0.4356805,0.74887633,-0.045615748,0.04734149
Abemaciclib,0.94910055,-0.15482992,-0.72038895,-0.8019458,-0.07763107,0.35623595,-0.3259469,2.5523825,-0.027093632,1.5291246,-0.14723971,-0.36723268,-1.2397113,0.6744006,0.17244248,1.1807773,0.7801472,2.2606874,0.96354854,0.03819269,-0.31753212,-0.5566496,-0.1556663,0.8753371,-0.3486739,0.97311294,0.3351341,0.3862919,-0.46053618,0.8195375,-0.14030963,0.09569305
ABT737,0.99703354,-0.12472088,-0.7481925,-0.877526,-0.08052823,0.53287727,-0.40233907,3.516099,-0.030543879,1.6367571,-0.0888903,-0.32415694,-1.2767925,0.67017287,0.32324758,1.4839455,0.9565044,2.3420606,1.4199554,0.113518484,-0.28640887,-0.6175463,-0.19350447,1.1329439,-0.33733514,0.9517696,0.46508542,0.5532333,-0.44830012,0.80228436,-0.017306212,0.08376259
AC220,1.0362569,-0.1013877,-0.73775905,-0.854984,-0.08726752,0.37522694,-0.36198154,2.7781026,-0.03723385,1.6591185,-0.10656816,-0.3185804,-1.2310194,0.6914274,0.21362488,1.2579242,0.82339555,2.4297752,1.0539554,0.04698787,-0.26012307,-0.56415325,-0.22763403,1.0391624,-0.3458583,1.0117432,0.4098565,0.42208898,-0.4551598,0.8316579,-0.11149095,0.08389579
ACY-1215,0.82476425,-0.15618624,-0.7288002,-0.85758734,-0.099983364,0.37038884,-0.3918515,2.3959603,-0.09533455,1.3824668,-0.11313606,-0.33064258,-1.241975,0.5786897,0.16167353,1.0827589,0.7277294,2.0443854,0.93626076,0.03563524,-0.25830162,-0.6461555,-0.23894338,0.8536633,-0.36221978,0.80971664,0.32946178,0.341387,-0.45805222,0.6873727,-0.1291898,0.078438506
ACY-738,0.869736,-0.16240712,-0.7476847,-0.873266,-0.104734235,0.38718227,-0.41975614,2.505751,-0.01364302,1.3876848,-0.11166388,-0.34139782,-1.2765396,0.640316,0.15229243,1.1905283,0.72546107,2.1638517,0.9783044,0.044904266,-0.27988932,-0.6641214,-0.36412662,0.8960654,-0.5598111,0.90008307,0.3172354,0.36776492,-0.46312955,0.84248775,-0.123052806,0.047341492
Afatinib,0.9828808,-0.12428393,-0.730199,-0.838681,-0.085667536,0.4456792,-0.36694783,3.113122,-0.042615935,1.6240361,-0.10765641,-0.31787014,-1.2326066,0.6677931,0.17215605,1.4293749,0.845317,2.3128822,1.2515725,0.038954426,-0.25084624,-0.6150995,-0.1977194,1.0755475,-0.34171093,0.93617976,0.4023782,0.4989099,-0.46333566,0.78077537,-0.12811644,0.07992365
Afuresertib,0.8210588,-0.086904205,-0.7520851,-0.8703928,-0.0838267,0.46912745,-0.4001992,3.520501,-0.07123558,1.6255355,-0.09978175,-0.32697803,-1.2780532,0.5858459,0.29052293,1.5555265,0.9653504,2.085752,1.4231791,0.062653445,-0.28670174,-0.6136031,-0.2149479,1.2395886,-0.3566068,0.77288604,0.465013,0.57971203,-0.45021787,0.73104966,-0.058849834,0.056742195
AGI-5198,0.87659043,-0.16322894,-0.7118611,-0.8477074,-0.09471837,0.35782388,-0.39727414,2.4857361,-0.049682617,1.4109743,-0.10819909,-0.31138027,-1.2018317,0.6361743,0.1995707,1.1971859,0.690056,2.1318367,0.9548833,0.047671113,-0.25263038,-0.5674472,-0.24602424,0.87422824,-0.49257326,0.89923483,0.3186763,0.3571705,-0.46992567,0.80780673,-0.111698076,0.10402585
AGI-6780,0.8837959,-0.107680626,-0.7377592,-0.8755242,-0.093330614,0.58177024,-0.4232986,3.487418,-0.046363305,1.6864731,-0.098464824,-0.3185804,-1.2523588,0.6593331,0.27289468,1.5148025,1.0029202,2.3520167,1.4071757,0.14633274,-0.26012307,-0.65169734,-0.3158635,1.1228424,-0.5568071,0.9060185,0.44510365,0.54340863,-0.4551598,0.82279724,-0.0742615,0.048119996
AICA Ribonucleotide,0.93058753,-0.16328248,-0.7183923,-0.8087266,-0.108697444,0.6828251,-0.41869792,3.70362,-0.068086766,1.9417244,-0.12738077,-0.3568627,-1.2355889,0.7456263,0.2019315,1.6858946,0.98160136,2.6815004,1.5721704,0.08011161,-0.27661356,-0.602313,-0.350605,1.1227021,-0.55685115,0.7459822,0.4228317,0.62023443,-0.45847446,0.8726053,-0.14917727,0.05906655
