drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
5-azacytidine,-0.3859975,-0.47077096,-0.94960016,0.20749947,-0.031127037,1.7248801,0.36793563,-0.41027343,1.2813609,-0.26500222,-0.68555987,0.23220246,0.98273396,-0.036852024,0.15619926,0.38541853,-0.57415944,0.020378763,1.67797,0.52056926,-0.65783674,0.028379122,-0.8486272,0.091748804,2.2967894,0.1687252,-0.078505315,-0.293396,0.09269933,-0.86421853,0.33785686,-1.0325224
5-Fluorouracil,-0.37580106,-0.6064371,-0.95557487,0.24728408,-0.11005803,1.7554748,0.28383544,-0.47961244,1.2113261,-0.28553277,-0.73650867,0.22604968,1.039916,-0.08610952,0.10980975,0.33586395,-0.5795719,0.038168415,1.5901525,0.5656717,-0.67876995,-0.037739005,-0.8675848,0.11610744,2.3548446,0.08886579,-0.11881963,-0.33089942,0.00015947747,-0.95657617,0.18678407,-1.0289571
A-1155463,-0.36213112,-0.3668998,-0.96116126,0.30936843,0.012193254,2.0601158,0.31034133,-0.40066028,1.4850124,-0.2755722,-0.6980793,0.2889751,1.1686738,-0.029373262,0.36596447,0.4091403,-0.5161822,0.039795034,1.8640736,0.66768235,-0.63115585,-0.00966005,-0.855517,0.18574582,2.5176,0.09825127,-0.06115415,-0.290328,0.25751507,-0.76321507,0.5804281,-1.0040834
A-1210477,-0.36670053,-0.40981418,-0.93655026,0.49984804,0.009411575,2.5774043,0.3166607,-0.42196026,1.6317958,-0.26799583,-0.6393311,0.38039088,1.6398058,0.07089699,0.3886113,0.37987652,-0.5322928,0.09197325,2.0943093,0.9921938,-0.6461144,0.04770581,-0.8904854,0.2833403,3.3300111,0.14346746,-0.025704797,-0.26498622,0.18566279,-0.7895289,0.5741232,-1.0265195
A-196,-0.4798997,-0.3858499,-1.0101132,0.43352458,-0.005347874,2.2890356,0.31868473,-0.56025076,1.6514783,-0.24712539,-0.69469446,0.36915004,1.4628911,0.032293435,0.41814676,0.42206708,-0.61462635,0.10296701,1.8499827,0.87600017,-0.67265123,0.055421937,-0.9792771,0.19055796,3.0074809,0.12620915,-0.04775622,-0.24154499,0.23186453,-0.9623755,0.6458286,-1.2984349
A-366,-0.4466383,-0.4051679,-0.9147397,0.22652635,0.04670237,1.8564739,0.36102578,-0.41950008,1.3569019,-0.28480104,-0.68206835,0.19483158,0.871419,-0.039159823,0.39482942,0.3270097,-0.5682862,-0.07717383,1.8222339,0.53077006,-0.6429387,0.06891611,-0.8390906,0.06701809,2.3418763,0.12779382,-0.040960565,-0.26707974,0.22190908,-0.84674454,0.6371505,-1.1123482
A-443654,-0.50030357,-0.4055576,-0.9365275,0.20718227,0.004994802,1.903649,0.31504408,-0.3944905,1.2101755,-0.26146385,-0.62592685,0.17228444,0.9478788,-0.066631496,0.32074675,0.38025475,-0.55019826,-0.072863415,1.7380674,0.5858362,-0.6674154,0.0054693487,-0.96149206,0.04555895,2.3922088,0.15065964,-0.038271282,-0.24964379,0.21498118,-0.728534,0.4678298,-1.214796
A-770041,-0.3612068,-0.40424457,-0.9285745,0.22755101,0.027698616,1.8564808,0.3226498,-0.39577302,1.2793101,-0.25314775,-0.6423085,0.2099107,0.99547726,-0.026581211,0.43625253,0.37987652,-0.5172868,0.01465116,1.7732545,0.6014105,-0.6332365,0.076752484,-0.85574645,0.12269401,2.361298,0.1399039,-0.0342411,-0.22801206,0.20564215,-0.79017454,0.64645237,-1.0037425
A-83-01,-0.4981252,-0.39635983,-0.9505459,0.38796967,-0.0006580678,2.1303275,0.3052462,-0.45620048,1.5020438,-0.26136607,-0.62979174,0.371075,1.3399597,0.07299018,0.3438996,0.4172279,-0.5790345,0.10230996,1.6911988,0.84025145,-0.68451756,0.07819271,-0.96531594,0.20637763,2.799727,0.14730044,-0.03120874,-0.24841923,0.07702545,-0.79408675,0.3887618,-1.2335601
Abemaciclib,-0.37423944,-0.31030342,-0.949434,0.29810002,0.005052698,2.0171864,0.31482798,-0.4383303,1.2322984,-0.25813532,-0.6284091,0.17982616,0.9985544,-0.035789486,0.35498717,0.3749937,-0.5342267,0.011754054,1.8519439,0.61986727,-0.60242265,0.050838087,-0.9084081,0.10512528,2.3561778,0.13202359,-0.0225621,-0.21805213,0.28162622,-0.74573445,0.6329911,-1.08906
