drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
5-azacytidine,-0.98367643,0.5416379,0.10525359,0.3546554,-0.044986144,-0.3956356,0.38426298,-1.1897999,-0.06945769,-0.14704555,-0.5054077,-2.7180607,1.7500777,0.114192665,0.36126307,0.56464607,-0.31862423,1.9189276,-0.52424824,-0.6247195,0.67272097,1.3155603,-0.80490166,0.3586497,-0.21480604,-0.3521909,0.44257152,-0.09772957,-0.93686116,0.946147,-0.3519142,-1.6906816
5-Fluorouracil,-0.9760866,0.5809656,0.13741344,0.38797197,-0.032571126,-0.4025598,0.481206,-1.2737451,-0.024854837,-0.12865688,-0.5057156,-2.7307334,1.7224956,0.20714198,0.39366332,0.66690075,-0.30076802,1.9025966,-0.599948,-0.6609065,0.7361015,1.3364975,-0.83380026,0.43284947,-0.21183647,-0.42557445,0.48812357,-0.08771273,-0.9865781,0.9727923,-0.3788994,-1.7362226
A-1155463,-0.97595197,0.5046956,0.13134855,0.395582,-0.04977594,-0.4009422,0.34347883,-1.1632757,-0.007398907,-0.1536431,-0.49708378,-2.657123,1.6831061,0.16461255,0.3571657,0.5885611,-0.2974663,1.8452623,-0.51019615,-0.6350247,0.64744854,1.2601638,-0.7606214,0.37642857,-0.23543678,-0.38927284,0.45703405,-0.10677276,-0.97491956,0.85623395,-0.32688743,-1.6106063
A-1210477,-0.9668196,0.4640972,0.12942244,0.39047343,-0.06151345,-0.39684978,0.27294526,-1.0987703,-0.019523455,-0.16193138,-0.48762727,-2.5989704,1.653953,0.12489431,0.33717883,0.5437567,-0.29190183,1.8057519,-0.46884328,-0.6055207,0.5964428,1.2411215,-0.7440035,0.32923716,-0.2489153,-0.35199597,0.4426856,-0.10776148,-0.93455476,0.8342974,-0.29739624,-1.5426712
A-196,-1.0202595,0.5292283,0.18698913,0.4102907,-0.024738997,-0.40567327,0.33927694,-1.2022126,-0.0065315575,-0.20378111,-0.4906083,-2.7273312,1.7051517,0.18450312,0.38445315,0.6290682,-0.27789977,1.8982902,-0.56887823,-0.6355687,0.6886985,1.3092362,-0.8257473,0.36703828,-0.2649925,-0.389208,0.5241824,-0.09095057,-1.0165608,0.9359699,-0.33491823,-1.6667538
A-366,-0.9848969,0.43553948,0.100788124,0.34389615,-0.04800782,-0.36494517,0.15343334,-1.0052187,-0.029182762,-0.2009237,-0.4819289,-2.4963348,1.6075743,0.0702113,0.33235916,0.46401826,-0.30898115,1.7497832,-0.44681963,-0.56734115,0.56754404,1.1972328,-0.7304167,0.26222643,-0.25430968,-0.30620727,0.43369138,-0.09182518,-0.9001689,0.80276155,-0.2511254,-1.4784595
A-443654,-0.8465005,0.44622502,0.1643145,0.37251705,-0.08608551,-0.4093232,0.31081027,-1.0892767,-0.058063284,-0.18289204,-0.446231,-2.550878,1.5961384,0.114331074,0.33463514,0.5774347,-0.26605728,1.7564634,-0.48220238,-0.5977133,0.5535714,1.2203017,-0.7520455,0.28737816,-0.21301202,-0.29955244,0.3979745,-0.089296885,-0.9288655,0.85853326,-0.34441006,-1.5325221
A-770041,-0.9152629,0.4511619,0.14165412,0.35642993,-0.060745753,-0.38711295,0.2639845,-1.0599154,-0.04237848,-0.19423124,-0.47009265,-2.546599,1.6132089,0.1094709,0.34661335,0.52710146,-0.29037738,1.7673235,-0.48143193,-0.59113044,0.5766744,1.2075734,-0.7445122,0.28588286,-0.23136325,-0.31428728,0.42414546,-0.088156655,-0.9260196,0.8435027,-0.3169911,-1.524365
A-83-01,-0.86805767,0.46264637,0.20515592,0.3982199,-0.069535315,-0.41993228,0.35597274,-1.1313006,-0.034668203,-0.18763936,-0.45001757,-2.6002455,1.6118795,0.157119,0.3472469,0.6121778,-0.25071034,1.7877442,-0.50743645,-0.61190414,0.5866757,1.2324574,-0.7651127,0.32463634,-0.2315311,-0.33486563,0.4420192,-0.09055278,-0.96392334,0.8738461,-0.36584803,-1.5593959
Abemaciclib,-0.94097847,0.46530962,0.13619794,0.37264776,-0.06432744,-0.39144027,0.24460597,-1.07244,-0.03179128,-0.18847696,-0.4756152,-2.5684514,1.63709,0.119672775,0.34488323,0.53745556,-0.3008776,1.7723271,-0.48367664,-0.6009736,0.58123916,1.2255706,-0.7505483,0.2985809,-0.23708816,-0.33084118,0.4362524,-0.09968729,-0.9384277,0.836005,-0.3114302,-1.5391152
