drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
5-azacytidine,-0.8763526,-1.3202273,0.05830471,0.08206664,0.053765792,-2.041785,0.37177435,-0.11298728,-0.81520104,0.7391898,0.48355606,0.9829751,0.35759497,0.01943747,-0.5651657,0.2901251,-0.852226,-1.548676,0.38249034,0.48610187,0.8689515,0.1576308,1.1562198,-0.19032952,0.3940549,-1.1108949,1.2344899,-1.000804,-0.7941124,-1.2882355,-0.08274856,0.36361304
5-Fluorouracil,-0.8117571,-1.2907902,0.026613833,0.17956837,0.057662334,-2.068371,0.53121376,-0.13128252,-0.82164353,0.6963495,0.4504359,1.0193816,0.34050152,0.04962781,-0.5731659,0.32342565,-0.9213329,-1.5250784,0.4629062,0.524768,0.89331234,0.15472452,1.1255531,-0.22438627,0.4096324,-1.1604966,1.2362195,-1.0516609,-0.7513563,-1.3073078,-0.06907127,0.3922925
A-1155463,-0.8203047,-1.3786126,0.091766275,0.11429372,0.015841456,-2.0812314,0.4490527,-0.13162528,-0.8243293,0.71284795,0.46062776,0.9770642,0.3801525,0.12344781,-0.59187466,0.3478668,-0.88095266,-1.4941837,0.4189487,0.50084704,0.87865835,0.16197461,1.086784,-0.17305817,0.40605286,-1.1158592,1.242232,-0.96863395,-0.75756663,-1.2680081,-0.10137595,0.3673706
A-1210477,-0.8349081,-1.4127119,0.0972289,0.07719475,0.012179872,-2.0550203,0.38433474,-0.10655783,-0.82023543,0.7316431,0.47204983,0.9427785,0.37800232,0.12781131,-0.57362735,0.33517238,-0.8467417,-1.4703165,0.3771527,0.484855,0.85552067,0.16576743,1.066625,-0.15638956,0.37824392,-1.068439,1.2144561,-0.9396225,-0.76250434,-1.2445835,-0.1271442,0.34560293
A-196,-0.88781005,-1.454158,0.08164396,0.12362098,-0.004619513,-2.1813698,0.5316723,-0.106309526,-0.8600979,0.75396323,0.49118853,0.9950357,0.38188994,0.11611733,-0.6110837,0.3813963,-0.9251161,-1.5494385,0.4413891,0.536163,0.8943594,0.17889969,1.1383046,-0.20950954,0.43251038,-1.215033,1.2760354,-1.0152326,-0.8083084,-1.3268046,-0.12650038,0.3960395
A-366,-0.86380273,-1.402047,0.1156423,0.0052556577,0.00927545,-1.9946809,0.28505686,-0.08547249,-0.78832346,0.73763305,0.49025598,0.8762943,0.3679274,0.109529726,-0.55708444,0.31936717,-0.78737783,-1.4552134,0.32830182,0.47083414,0.8201583,0.15952417,1.0570425,-0.12526692,0.37240967,-1.0186484,1.1898457,-0.8685089,-0.7804864,-1.205259,-0.1496033,0.32960668
A-443654,-0.792723,-1.435396,0.11027083,0.119749784,-0.0065733665,-2.0179756,0.4735173,-0.11058863,-0.8181201,0.7417235,0.42678675,0.9372095,0.35938957,0.17097081,-0.5843219,0.31737986,-0.8552164,-1.3882896,0.36722195,0.4026555,0.8253118,0.18755953,1.0173687,-0.174232,0.3562377,-1.0562036,1.1324354,-0.97027475,-0.6736278,-1.1768625,-0.15500087,0.3098505
A-770041,-0.82274354,-1.401118,0.107612446,0.07452943,-0.01185714,-2.0123234,0.40079933,-0.09389224,-0.80007935,0.72927934,0.46224412,0.91390014,0.36684057,0.13061452,-0.5623497,0.32861423,-0.8259216,-1.4319639,0.35909194,0.44538572,0.81049955,0.17520644,1.0451038,-0.15975933,0.3692215,-1.0554045,1.1706864,-0.92413867,-0.73188055,-1.1959709,-0.14087707,0.33089942
A-83-01,-0.79553735,-1.443365,0.094609216,0.15739413,-0.02627513,-2.0759685,0.54644793,-0.102206066,-0.8368742,0.7303573,0.43568736,0.95878214,0.36760512,0.17469299,-0.58670765,0.35339943,-0.88477767,-1.4159421,0.40436345,0.44664693,0.8330758,0.1863704,1.0320562,-0.20111607,0.37675247,-1.1195109,1.1647114,-0.9918435,-0.7003096,-1.2158055,-0.14638677,0.338878
Abemaciclib,-0.8378465,-1.417618,0.10743111,0.06898909,0.015320783,-2.0209913,0.40820187,-0.11876543,-0.8173218,0.7374858,0.46749413,0.91569084,0.35638714,0.1417398,-0.5772147,0.3192317,-0.8305111,-1.4302647,0.38157138,0.4412234,0.84487087,0.1605572,1.0565509,-0.14731675,0.38011807,-1.0589641,1.1733792,-0.9266651,-0.7333975,-1.2028093,-0.14410178,0.32673863
